Date,Rain mm,Population
1/1/1930,0,2070000000
2/1/1930,0,
3/1/1930,0,
4/1/1930,0,
5/1/1930,0,
6/1/1930,1.524,
7/1/1930,0,
8/1/1930,0,
9/1/1930,0,
10/1/1930,19.05,
11/1/1930,1.016,
12/1/1930,4.064,
13/01/1930,0,
14/01/1930,0,
15/01/1930,0.254,
16/01/1930,0,
17/01/1930,0.508,
18/01/1930,0.254,
19/01/1930,12.446,
20/01/1930,0,
21/01/1930,1.27,
22/01/1930,5.842,
23/01/1930,0.254,
24/01/1930,0.254,
25/01/1930,0.762,
26/01/1930,0,
27/01/1930,0,
28/01/1930,0.762,
29/01/1930,0,
30/01/1930,0,
31/01/1930,0.254,
1/2/1930,1.524,
2/2/1930,0,
3/2/1930,0.508,
4/2/1930,0,
5/2/1930,0,
6/2/1930,0,
7/2/1930,0,
8/2/1930,0,
9/2/1930,0,
10/2/1930,0,
11/2/1930,0,
12/2/1930,0.762,
13/02/1930,0,
14/02/1930,0,
15/02/1930,0,
16/02/1930,0,
17/02/1930,0.254,
18/02/1930,3.81,
19/02/1930,0,
20/02/1930,0,
21/02/1930,0,
22/02/1930,5.08,
23/02/1930,4.064,
24/02/1930,0,
25/02/1930,0,
26/02/1930,0,
27/02/1930,0,
28/02/1930,0,
1/3/1930,0,
2/3/1930,0.508,
3/3/1930,0,
4/3/1930,0,
5/3/1930,1.524,
6/3/1930,0.508,
7/3/1930,0,
8/3/1930,0,
9/3/1930,0,
10/3/1930,0.254,
11/3/1930,0,
12/3/1930,1.27,
13/03/1930,1.27,
14/03/1930,1.016,
15/03/1930,0,
16/03/1930,0,
17/03/1930,0,
18/03/1930,0,
19/03/1930,0,
20/03/1930,0,
21/03/1930,0.254,
22/03/1930,0,
23/03/1930,0,
24/03/1930,0,
25/03/1930,0,
26/03/1930,0,
27/03/1930,0,
28/03/1930,0,
29/03/1930,0,
30/03/1930,0,
31/03/1930,0,
1/4/1930,0,
2/4/1930,0,
3/4/1930,0,
4/4/1930,0,
5/4/1930,0,
6/4/1930,0,
7/4/1930,0.254,
8/4/1930,6.858,
9/4/1930,0.254,
10/4/1930,2.032,
11/4/1930,0,
12/4/1930,2.54,
13/04/1930,2.032,
14/04/1930,0,
15/04/1930,1.524,
16/04/1930,0.254,
17/04/1930,0,
18/04/1930,9.398,
19/04/1930,1.016,
20/04/1930,7.112,
21/04/1930,6.604,
22/04/1930,22.606,
23/04/1930,0,
24/04/1930,0.762,
25/04/1930,1.524,
26/04/1930,0,
27/04/1930,8.128,
28/04/1930,0.254,
29/04/1930,3.556,
30/04/1930,6.858,
1/5/1930,10.414,
2/5/1930,2.032,
3/5/1930,8.382,
4/5/1930,0,
5/5/1930,16.256,
6/5/1930,50.546,
7/5/1930,0,
8/5/1930,13.208,
9/5/1930,0.508,
10/5/1930,4.064,
11/5/1930,15.494,
12/5/1930,1.524,
13/05/1930,19.558,
14/05/1930,2.54,
15/05/1930,26.924,
16/05/1930,1.524,
17/05/1930,1.524,
18/05/1930,1.016,
19/05/1930,10.922,
20/05/1930,0,
21/05/1930,0.254,
22/05/1930,35.56,
23/05/1930,0,
24/05/1930,0,
25/05/1930,0,
26/05/1930,9.652,
27/05/1930,0.254,
28/05/1930,2.286,
29/05/1930,19.05,
30/05/1930,1.016,
31/05/1930,3.81,
1/6/1930,0,
2/6/1930,41.402,
3/6/1930,3.048,
4/6/1930,1.27,
5/6/1930,17.272,
6/6/1930,0.508,
7/6/1930,0.508,
8/6/1930,7.112,
9/6/1930,0,
10/6/1930,0,
11/6/1930,0,
12/6/1930,8.636,
13/06/1930,0.254,
14/06/1930,0,
15/06/1930,0,
16/06/1930,0,
17/06/1930,6.604,
18/06/1930,0,
19/06/1930,4.826,
20/06/1930,9.144,
21/06/1930,9.144,
22/06/1930,0.254,
23/06/1930,0,
24/06/1930,0,
25/06/1930,0,
26/06/1930,0,
27/06/1930,8.128,
28/06/1930,65.532,
29/06/1930,0,
30/06/1930,0.254,
1/7/1930,0,
2/7/1930,0,
3/7/1930,16.256,
4/7/1930,6.096,
5/7/1930,0,
6/7/1930,0,
7/7/1930,18.034,
8/7/1930,3.81,
9/7/1930,4.572,
10/7/1930,13.97,
11/7/1930,4.826,
12/7/1930,26.924,
13/07/1930,0,
14/07/1930,0,
15/07/1930,25.146,
16/07/1930,0,
17/07/1930,9.398,
18/07/1930,10.414,
19/07/1930,10.16,
20/07/1930,0.254,
21/07/1930,0,
22/07/1930,0,
23/07/1930,12.192,
24/07/1930,12.446,
25/07/1930,2.794,
26/07/1930,2.794,
27/07/1930,0.254,
28/07/1930,1.016,
29/07/1930,0,
30/07/1930,0,
31/07/1930,0,
1/8/1930,0,
2/8/1930,7.62,
3/8/1930,8.636,
4/8/1930,0,
5/8/1930,0,
6/8/1930,0,
7/8/1930,0,
8/8/1930,2.794,
9/8/1930,3.048,
10/8/1930,0,
11/8/1930,0,
12/8/1930,0,
13/08/1930,11.938,
14/08/1930,0.762,
15/08/1930,28.448,
16/08/1930,0,
17/08/1930,8.636,
18/08/1930,19.558,
19/08/1930,21.59,
20/08/1930,0,
21/08/1930,4.318,
22/08/1930,12.954,
23/08/1930,1.016,
24/08/1930,2.54,
25/08/1930,0,
26/08/1930,6.604,
27/08/1930,1.27,
28/08/1930,0,
29/08/1930,0.254,
30/08/1930,3.81,
31/08/1930,3.81,
1/9/1930,13.208,
2/9/1930,20.574,
3/9/1930,0.254,
4/9/1930,2.54,
5/9/1930,3.556,
6/9/1930,52.07,
7/9/1930,0,
8/9/1930,15.494,
9/9/1930,12.954,
10/9/1930,0,
11/9/1930,29.718,
12/9/1930,12.954,
13/09/1930,0.508,
14/09/1930,1.016,
15/09/1930,3.81,
16/09/1930,0,
17/09/1930,0,
18/09/1930,0,
19/09/1930,0,
20/09/1930,2.032,
21/09/1930,0,
22/09/1930,18.034,
23/09/1930,0.254,
24/09/1930,30.734,
25/09/1930,0.254,
26/09/1930,6.35,
27/09/1930,4.318,
28/09/1930,20.32,
29/09/1930,42.164,
30/09/1930,0.254,
1/10/1930,0,
2/10/1930,0.508,
3/10/1930,35.306,
4/10/1930,1.016,
5/10/1930,3.556,
6/10/1930,0,
7/10/1930,5.08,
8/10/1930,0,
9/10/1930,1.016,
10/10/1930,0.508,
11/10/1930,0,
12/10/1930,0,
13/10/1930,0,
14/10/1930,41.148,
15/10/1930,0,
16/10/1930,27.432,
17/10/1930,6.096,
18/10/1930,1.016,
19/10/1930,0,
20/10/1930,0.762,
21/10/1930,1.778,
22/10/1930,12.954,
23/10/1930,2.54,
24/10/1930,0.254,
25/10/1930,0.762,
26/10/1930,0,
27/10/1930,2.54,
28/10/1930,4.572,
29/10/1930,2.54,
30/10/1930,0,
31/10/1930,2.54,
1/11/1930,0,
2/11/1930,1.27,
3/11/1930,3.556,
4/11/1930,3.302,
5/11/1930,37.592,
6/11/1930,2.032,
7/11/1930,5.588,
8/11/1930,6.096,
9/11/1930,0.254,
10/11/1930,0,
11/11/1930,0.762,
12/11/1930,0.254,
13/11/1930,0,
14/11/1930,52.578,
15/11/1930,1.524,
16/11/1930,15.24,
